"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","2.43396730714563e-05","49","3564","32","0.00897867564534231","0.653061224489796","GO:0019646","GO:BP","aerobic electron transport chain","11884","5570","c(""GO:0006119"", ""GO:0009060"", ""GO:0022904"")"
"query_1","TRUE","2.57525779604528e-05","69","3564","41","0.0115039281705948","0.594202898550725","GO:0022904","GO:BP","respiratory electron transport chain","11884","6196","c(""GO:0022900"", ""GO:0045333"")"
"query_1","TRUE","2.62173670563511e-05","47","3564","31","0.00869809203142537","0.659574468085106","GO:0070585","GO:BP","protein localization to mitochondrion","11884","15073","GO:0033365"
"query_1","TRUE","2.82122855258961e-05","58","3564","36","0.0101010101010101","0.620689655172414","GO:0051304","GO:BP","chromosome separation","11884","12733","c(""GO:0007059"", ""GO:0022402"")"
"query_1","TRUE","2.82122855258961e-05","142","3564","71","0.0199214365881033","0.5","GO:0000725","GO:BP","recombinational repair","11884","201","c(""GO:0006281"", ""GO:0006310"")"
"query_1","TRUE","2.82122855258961e-05","215","3564","99","0.0277777777777778","0.46046511627907","GO:0141188","GO:BP","nucleic acid catabolic process","11884","18826","c(""GO:0009057"", ""GO:0034655"", ""GO:0090304"")"
"query_1","TRUE","2.82122855258961e-05","199","3564","93","0.0260942760942761","0.467336683417085","GO:0006401","GO:BP","RNA catabolic process","11884","2054","c(""GO:0016070"", ""GO:0141188"")"
"query_1","TRUE","3.09082795450352e-05","41","3564","28","0.00785634118967452","0.682926829268293","GO:0033047","GO:BP","regulation of mitotic sister chromatid segregation","11884","7486","c(""GO:0000070"", ""GO:0033045"")"
"query_1","TRUE","3.09082795450352e-05","105","3564","56","0.015712682379349","0.533333333333333","GO:0032200","GO:BP","telomere organization","11884","6907","GO:0051276"
"query_1","TRUE","3.09082795450352e-05","41","3564","28","0.00785634118967452","0.682926829268293","GO:0007080","GO:BP","mitotic metaphase chromosome alignment","11884","2536","c(""GO:0000070"", ""GO:0051310"", ""GO:1903047"")"
"query_1","TRUE","3.09082795450352e-05","105","3564","56","0.015712682379349","0.533333333333333","GO:0000723","GO:BP","telomere maintenance","11884","199","c(""GO:0006259"", ""GO:0032200"")"
"query_1","TRUE","3.29452193088828e-05","135","3564","68","0.0190796857463524","0.503703703703704","GO:0045930","GO:BP","negative regulation of mitotic cell cycle","11884","10946","c(""GO:0000278"", ""GO:0007346"", ""GO:0045786"")"
"query_1","TRUE","3.4326287751934e-05","98","3564","53","0.0148709315375982","0.540816326530612","GO:0140013","GO:BP","meiotic nuclear division","11884","18362","c(""GO:0000280"", ""GO:1903046"")"
"query_1","TRUE","3.65538835517775e-05","63","3564","38","0.010662177328844","0.603174603174603","GO:2001251","GO:BP","negative regulation of chromosome organization","11884","24492","c(""GO:0010639"", ""GO:0033044"", ""GO:0051276"")"
"query_1","TRUE","4.19155566244799e-05","61","3564","37","0.010381593714927","0.60655737704918","GO:0006405","GO:BP","RNA export from nucleus","11884","2058","c(""GO:0050658"", ""GO:0051168"")"
"query_1","TRUE","4.42753490427066e-05","193","3564","90","0.0252525252525253","0.466321243523316","GO:0034504","GO:BP","protein localization to nucleus","11884","8096","GO:0033365"
"query_1","TRUE","4.71432744375985e-05","324","3564","138","0.0387205387205387","0.425925925925926","GO:0034655","GO:BP","nucleobase-containing compound catabolic process","11884","8135","c(""GO:0006139"", ""GO:0009056"")"
"query_1","TRUE","5.17775127637083e-05","87","3564","48","0.0134680134680135","0.551724137931034","GO:0051225","GO:BP","spindle assembly","11884","12681","c(""GO:0007051"", ""GO:0007059"", ""GO:0140694"")"
"query_1","TRUE","5.51609015326697e-05","73","3564","42","0.0117845117845118","0.575342465753425","GO:0051028","GO:BP","mRNA transport","11884","12574","GO:0050658"
"query_1","TRUE","5.67366751273284e-05","548","3564","216","0.0606060606060606","0.394160583941606","GO:0033365","GO:BP","protein localization to organelle","11884","7636","GO:0008104"
"query_1","TRUE","5.92182039510817e-05","97","3564","52","0.0145903479236813","0.536082474226804","GO:0007098","GO:BP","centrosome cycle","11884","2547","c(""GO:0022402"", ""GO:0031023"")"
"query_1","TRUE","6.17182752874691e-05","102","3564","54","0.0151515151515152","0.529411764705882","GO:0031023","GO:BP","microtubule organizing center organization","11884","6550","c(""GO:0000226"", ""GO:0007017"", ""GO:0016043"")"
"query_1","TRUE","6.52589562820305e-05","90","3564","49","0.0137485970819304","0.544444444444444","GO:0006997","GO:BP","nucleus organization","11884","2479","GO:0006996"
"query_1","TRUE","6.75079640049519e-05","32","3564","23","0.00645342312008979","0.71875","GO:0071174","GO:BP","mitotic spindle checkpoint signaling","11884","15336","c(""GO:0007093"", ""GO:0031577"")"
"query_1","TRUE","6.75079640049519e-05","32","3564","23","0.00645342312008979","0.71875","GO:0071173","GO:BP","spindle assembly checkpoint signaling","11884","15335","GO:0031577"
"query_1","TRUE","6.75079640049519e-05","140","3564","69","0.0193602693602694","0.492857142857143","GO:0000724","GO:BP","double-strand break repair via homologous recombination","11884","200","c(""GO:0000725"", ""GO:0006302"")"
"query_1","TRUE","6.75079640049519e-05","38","3564","26","0.00729517396184063","0.684210526315789","GO:0045839","GO:BP","negative regulation of mitotic nuclear division","11884","10882","c(""GO:0007088"", ""GO:0010948"", ""GO:0045930"", ""GO:0051784"", ""GO:0140014"")"
"query_1","TRUE","6.75079640049519e-05","76","3564","43","0.0120650953984287","0.565789473684211","GO:0022900","GO:BP","electron transport chain","11884","6195","GO:0006091"
"query_1","TRUE","6.75079640049519e-05","32","3564","23","0.00645342312008979","0.71875","GO:0031577","GO:BP","spindle checkpoint signaling","11884","6764","GO:0000075"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:1905819","GO:BP","negative regulation of chromosome separation","11884","23105","c(""GO:0051304"", ""GO:0051985"", ""GO:1905818"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:0033048","GO:BP","negative regulation of mitotic sister chromatid segregation","11884","7487","c(""GO:0000070"", ""GO:0033046"", ""GO:0033047"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:2000816","GO:BP","negative regulation of mitotic sister chromatid separation","11884","24163","c(""GO:0010965"", ""GO:0033048"", ""GO:0051306"", ""GO:1905819"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:0033046","GO:BP","negative regulation of sister chromatid segregation","11884","7485","c(""GO:0000819"", ""GO:0033045"", ""GO:0051985"", ""GO:2001251"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:0045841","GO:BP","negative regulation of mitotic metaphase/anaphase transition","11884","10884","c(""GO:0007091"", ""GO:0030071"", ""GO:0045839"", ""GO:1901991"", ""GO:1902100"", ""GO:2000816"")"
"query_1","TRUE","6.75079640049519e-05","32","3564","23","0.00645342312008979","0.71875","GO:0007094","GO:BP","mitotic spindle assembly checkpoint signaling","11884","2543","c(""GO:0045841"", ""GO:0071173"", ""GO:0071174"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:0051985","GO:BP","negative regulation of chromosome segregation","11884","13105","c(""GO:0007059"", ""GO:0010948"", ""GO:0051983"")"
"query_1","TRUE","6.75079640049519e-05","34","3564","24","0.00673400673400673","0.705882352941177","GO:1902100","GO:BP","negative regulation of metaphase/anaphase transition of cell cycle","11884","20527","c(""GO:0044784"", ""GO:1901988"", ""GO:1902099"")"
"query_1","TRUE","7.02950312406939e-05","2145","3564","735","0.206228956228956","0.342657342657343","GO:0006996","GO:BP","organelle organization","11884","2478","GO:0016043"
"query_1","TRUE","8.82770418082745e-05","47","3564","30","0.00841750841750842","0.638297872340426","GO:0045132","GO:BP","meiotic chromosome segregation","11884","10533","c(""GO:0098813"", ""GO:0140013"", ""GO:1903046"")"
"query_1","TRUE","9.66710760574304e-05","56","3564","34","0.00953984287317621","0.607142857142857","GO:0032543","GO:BP","mitochondrial translation","11884","7139","c(""GO:0006412"", ""GO:0140053"")"
"query_1","TRUE","0.000107344460924821","213","3564","96","0.0269360269360269","0.450704225352113","GO:0006417","GO:BP","regulation of translation","11884","2066","c(""GO:0006412"", ""GO:0010608"", ""GO:0051246"")"
"query_1","TRUE","0.000123800181536586","61","3564","36","0.0101010101010101","0.590163934426229","GO:1901992","GO:BP","positive regulation of mitotic cell cycle phase transition","11884","20449","c(""GO:0044772"", ""GO:0045931"", ""GO:1901989"", ""GO:1901990"")"
"query_1","TRUE","0.000127097330581454","23","3564","18","0.00505050505050505","0.782608695652174","GO:0051383","GO:BP","kinetochore organization","11884","12776","GO:0051276"
"query_1","TRUE","0.000127097330581454","23","3564","18","0.00505050505050505","0.782608695652174","GO:0006099","GO:BP","tricarboxylic acid cycle","11884","1858","c(""GO:0009060"", ""GO:0044238"")"
"query_1","TRUE","0.000139557928186694","117","3564","59","0.0165544332210999","0.504273504273504","GO:0009165","GO:BP","nucleotide biosynthetic process","11884","3179","c(""GO:0009117"", ""GO:1901293"")"
"query_1","TRUE","0.000147682670970738","66","3564","38","0.010662177328844","0.575757575757576","GO:0007088","GO:BP","regulation of mitotic nuclear division","11884","2539","c(""GO:0007346"", ""GO:0010564"", ""GO:0051783"", ""GO:0140014"")"
"query_1","TRUE","0.000155987925941649","275","3564","118","0.0331088664421998","0.429090909090909","GO:0051052","GO:BP","regulation of DNA metabolic process","11884","12591","c(""GO:0006259"", ""GO:0019219"", ""GO:0060255"")"
"query_1","TRUE","0.000194459951232781","93","3564","49","0.0137485970819304","0.526881720430108","GO:0007052","GO:BP","mitotic spindle organization","11884","2518","c(""GO:0007051"", ""GO:1902850"")"
"query_1","TRUE","0.00022237673950446","86","3564","46","0.0129068462401796","0.534883720930233","GO:0009260","GO:BP","ribonucleotide biosynthetic process","11884","3269","c(""GO:0009165"", ""GO:0009259"", ""GO:0046390"")"
"query_1","TRUE","0.000249949342934975","40","3564","26","0.00729517396184063","0.65","GO:0051784","GO:BP","negative regulation of nuclear division","11884","13004","c(""GO:0000280"", ""GO:0010639"", ""GO:0051783"")"
"query_1","TRUE","0.000251802582398753","672","3564","254","0.0712682379349046","0.37797619047619","GO:0051246","GO:BP","regulation of protein metabolic process","11884","12695","c(""GO:0019538"", ""GO:0060255"", ""GO:0080090"")"
"query_1","TRUE","0.000274345202777112","20","3564","16","0.00448933782267116","0.8","GO:0051984","GO:BP","positive regulation of chromosome segregation","11884","13104","c(""GO:0007059"", ""GO:0051983"", ""GO:0090068"")"
"query_1","TRUE","0.00030271346653812","177","3564","81","0.0227272727272727","0.457627118644068","GO:1901293","GO:BP","nucleoside phosphate biosynthetic process","11884","19980","c(""GO:0006753"", ""GO:0034654"", ""GO:0090407"")"
"query_1","TRUE","0.000322550295684332","156","3564","73","0.0204826038159371","0.467948717948718","GO:0040029","GO:BP","epigenetic regulation of gene expression","11884","9282","c(""GO:0006338"", ""GO:0010468"")"
"query_1","TRUE","0.000349927086917097","30","3564","21","0.00589225589225589","0.7","GO:0033260","GO:BP","nuclear DNA replication","11884","7575","GO:0044786"
"query_1","TRUE","0.00036588484207024","45","3564","28","0.00785634118967452","0.622222222222222","GO:0045005","GO:BP","DNA-templated DNA replication maintenance of fidelity","11884","10464","c(""GO:0006259"", ""GO:0006261"")"
"query_1","TRUE","0.000367312055112808","68","3564","38","0.010662177328844","0.558823529411765","GO:2001252","GO:BP","positive regulation of chromosome organization","11884","24493","c(""GO:0010638"", ""GO:0033044"", ""GO:0051276"")"
"query_1","TRUE","0.000486120299338458","901","3564","328","0.0920314253647587","0.364039955604883","GO:0009057","GO:BP","macromolecule catabolic process","11884","3093","c(""GO:0009056"", ""GO:0043170"")"
"query_1","TRUE","0.000486706078446832","606","3564","230","0.0645342312008979","0.37953795379538","GO:0007017","GO:BP","microtubule-based process","11884","2492","GO:0009987"
"query_1","TRUE","0.000486706078446832","50","3564","30","0.00841750841750842","0.6","GO:0000380","GO:BP","alternative mRNA splicing, via spliceosome","11884","111","GO:0000398"
"query_1","TRUE","0.000487353998330631","179","3564","81","0.0227272727272727","0.452513966480447","GO:1903311","GO:BP","regulation of mRNA metabolic process","11884","21291","c(""GO:0016071"", ""GO:0051252"")"
"query_1","TRUE","0.000512107987199883","39","3564","25","0.00701459034792368","0.641025641025641","GO:0051293","GO:BP","establishment of spindle localization","11884","12724","c(""GO:0000226"", ""GO:0051649"", ""GO:0051653"", ""GO:0051656"")"
"query_1","TRUE","0.00052447708353036","577","3564","220","0.0617283950617284","0.381282495667244","GO:0006338","GO:BP","chromatin remodeling","11884","2018","GO:0006325"
"query_1","TRUE","0.000545909593026463","3741","3564","1221","0.342592592592593","0.326383319967923","GO:0016043","GO:BP","cellular component organization","11884","4835","GO:0071840"
"query_1","TRUE","0.000560439272689237","17","3564","14","0.00392817059483726","0.823529411764706","GO:0051315","GO:BP","attachment of mitotic spindle microtubules to kinetochore","11884","12741","c(""GO:0007080"", ""GO:0008608"", ""GO:1903047"")"
"query_1","TRUE","0.000627446958103495","109","3564","54","0.0151515151515152","0.495412844036697","GO:0000082","GO:BP","G1/S transition of mitotic cell cycle","11884","30","c(""GO:0044772"", ""GO:0044843"")"
"query_1","TRUE","0.00066398910390331","89","3564","46","0.0129068462401796","0.51685393258427","GO:0046390","GO:BP","ribose phosphate biosynthetic process","11884","11311","c(""GO:0019693"", ""GO:0090407"", ""GO:1901137"")"
"query_1","TRUE","0.000673987711174227","19","3564","15","0.00420875420875421","0.789473684210526","GO:0000466","GO:BP","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","11884","155","GO:0000460"
"query_1","TRUE","0.000750236491097687","77","3564","41","0.0115039281705948","0.532467532467532","GO:0051783","GO:BP","regulation of nuclear division","11884","13003","c(""GO:0000280"", ""GO:0033043"")"
"query_1","TRUE","0.000775008005296967","120","3564","58","0.0162738496071829","0.483333333333333","GO:0044843","GO:BP","cell cycle G1/S phase transition","11884","10434","GO:0044770"
"query_1","TRUE","0.000788138259241883","27","3564","19","0.005331088664422","0.703703703703704","GO:0000387","GO:BP","spliceosomal snRNP assembly","11884","113","c(""GO:0000398"", ""GO:0022618"")"
"query_1","TRUE","0.000791821449764468","264","3564","111","0.0311447811447811","0.420454545454545","GO:0009117","GO:BP","nucleotide metabolic process","11884","3136","GO:0006753"
"query_1","TRUE","0.000961990579846876","359","3564","144","0.0404040404040404","0.401114206128134","GO:0006753","GO:BP","nucleoside phosphate metabolic process","11884","2324","c(""GO:0006796"", ""GO:0019637"", ""GO:0055086"")"
"query_1","TRUE","0.00105468200889407","73","3564","39","0.0109427609427609","0.534246575342466","GO:0009152","GO:BP","purine ribonucleotide biosynthetic process","11884","3169","c(""GO:0006164"", ""GO:0009150"", ""GO:0009260"")"
"query_1","TRUE","0.00107165166044947","61","3564","34","0.00953984287317621","0.557377049180328","GO:0051298","GO:BP","centrosome duplication","11884","12728","c(""GO:0007098"", ""GO:0022402"")"
"query_1","TRUE","0.00130203697375647","34","3564","22","0.00617283950617284","0.647058823529412","GO:0009124","GO:BP","nucleoside monophosphate biosynthetic process","11884","3141","c(""GO:0009123"", ""GO:1901293"")"
"query_1","TRUE","0.00142648166588834","43","3564","26","0.00729517396184063","0.604651162790698","GO:0051653","GO:BP","spindle localization","11884","12941","c(""GO:0022402"", ""GO:0051640"")"
"query_1","TRUE","0.00149100802695387","69","3564","37","0.010381593714927","0.536231884057971","GO:0061982","GO:BP","meiosis I cell cycle process","11884","14665","GO:1903046"
"query_1","TRUE","0.00156109086646133","30","3564","20","0.00561167227833894","0.666666666666667","GO:0051294","GO:BP","establishment of spindle orientation","11884","12725","c(""GO:0030010"", ""GO:0051293"")"
"query_1","TRUE","0.00167294128063133","18","3564","14","0.00392817059483726","0.777777777777778","GO:0071459","GO:BP","protein localization to chromosome, centromeric region","11884","15554","GO:0034502"
"query_1","TRUE","0.00167294128063133","28","3564","19","0.005331088664422","0.678571428571429","GO:0000460","GO:BP","maturation of 5.8S rRNA","11884","149","GO:0006364"
"query_1","TRUE","0.00180666019283351","20","3564","15","0.00420875420875421","0.75","GO:0051382","GO:BP","kinetochore assembly","11884","12775","c(""GO:0051383"", ""GO:0065003"", ""GO:0140694"")"
"query_1","TRUE","0.00184070675988616","372","3564","147","0.0412457912457912","0.395161290322581","GO:0055086","GO:BP","nucleobase-containing small molecule metabolic process","11884","13262","c(""GO:0006139"", ""GO:0044281"")"
"query_1","TRUE","0.00185937437014787","77","3564","40","0.0112233445566779","0.519480519480519","GO:1902749","GO:BP","regulation of cell cycle G2/M phase transition","11884","20933","c(""GO:0044839"", ""GO:1901987"")"
"query_1","TRUE","0.00190563868540261","1746","3564","594","0.166666666666667","0.34020618556701","GO:0022607","GO:BP","cellular component assembly","11884","6180","c(""GO:0016043"", ""GO:0044085"")"
"query_1","TRUE","0.00196311231940933","126","3564","59","0.0165544332210999","0.468253968253968","GO:0072522","GO:BP","purine-containing compound biosynthetic process","11884","16246","c(""GO:0009058"", ""GO:0072521"")"
"query_1","TRUE","0.00196311231940933","11","3564","10","0.00280583613916947","0.909090909090909","GO:0001833","GO:BP","inner cell mass cell proliferation","11884","477","c(""GO:0001832"", ""GO:0008283"")"
"query_1","TRUE","0.00215936534359762","194","3564","84","0.0235690235690236","0.43298969072165","GO:0031647","GO:BP","regulation of protein stability","11884","6794","GO:0065008"
"query_1","TRUE","0.00226099628382073","116","3564","55","0.0154320987654321","0.474137931034483","GO:0050821","GO:BP","protein stabilization","11884","12421","GO:0031647"
"query_1","TRUE","0.00234245397752638","35","3564","22","0.00617283950617284","0.628571428571429","GO:0007004","GO:BP","telomere maintenance via telomerase","11884","2483","c(""GO:0006278"", ""GO:0010833"")"
"query_1","TRUE","0.00288957446373516","13","3564","11","0.00308641975308642","0.846153846153846","GO:0034501","GO:BP","protein localization to kinetochore","11884","8093","c(""GO:0071459"", ""GO:1903083"")"
"query_1","TRUE","0.00288957446373516","13","3564","11","0.00308641975308642","0.846153846153846","GO:0106074","GO:BP","aminoacyl-tRNA metabolism involved in translational fidelity","11884","17993","c(""GO:0006399"", ""GO:0006450"")"
"query_1","TRUE","0.00288957446373516","61","3564","33","0.00925925925925926","0.540983606557377","GO:0007127","GO:BP","meiosis I","11884","2564","c(""GO:0061982"", ""GO:0140013"")"
"query_1","TRUE","0.00288957446373516","13","3564","11","0.00308641975308642","0.846153846153846","GO:1903083","GO:BP","protein localization to condensed chromosome","11884","21176","GO:0034502"
"query_1","TRUE","0.00288957446373516","13","3564","11","0.00308641975308642","0.846153846153846","GO:0000212","GO:BP","meiotic spindle organization","11884","59","c(""GO:0007051"", ""GO:1903046"")"
"query_1","TRUE","0.00290342812650139","91","3564","45","0.0126262626262626","0.494505494505495","GO:0044839","GO:BP","cell cycle G2/M phase transition","11884","10433","GO:0044770"
"query_1","TRUE","0.00298748693986442","86","3564","43","0.0120650953984287","0.5","GO:0006164","GO:BP","purine nucleotide biosynthetic process","11884","1896","c(""GO:0006163"", ""GO:0009165"", ""GO:0072522"")"
"query_1","TRUE","0.00355592006462767","15","3564","12","0.00336700336700337","0.8","GO:1902969","GO:BP","mitotic DNA replication","11884","21090","c(""GO:0033260"", ""GO:1903047"")"
"query_1","TRUE","0.00355592006462767","191","3564","82","0.0230078563411897","0.429319371727749","GO:0009259","GO:BP","ribonucleotide metabolic process","11884","3268","c(""GO:0009117"", ""GO:0019693"")"
"query_1","TRUE","0.00355592006462767","84","3564","42","0.0117845117845118","0.5","GO:0051053","GO:BP","negative regulation of DNA metabolic process","11884","12592","c(""GO:0006259"", ""GO:0010605"", ""GO:0045934"", ""GO:0051052"")"
"query_1","TRUE","0.00364616837848958","52","3564","29","0.00813692480359147","0.557692307692308","GO:0009123","GO:BP","nucleoside monophosphate metabolic process","11884","3140","GO:0006753"
"query_1","TRUE","0.00370202162447023","2575","3564","850","0.238496071829405","0.330097087378641","GO:0048523","GO:BP","negative regulation of cellular process","11884","11957","c(""GO:0009987"", ""GO:0048519"", ""GO:0050794"")"
"query_1","TRUE","0.00371766561548507","1611","3564","548","0.153759820426487","0.34016139044072","GO:0010604","GO:BP","positive regulation of macromolecule metabolic process","11884","4065","c(""GO:0009893"", ""GO:0043170"", ""GO:0060255"")"
"query_1","TRUE","0.00371766561548507","296","3564","119","0.0333894500561167","0.402027027027027","GO:0072521","GO:BP","purine-containing compound metabolic process","11884","16245","GO:0008152"
"query_1","TRUE","0.00385121425952713","153","3564","68","0.0190796857463524","0.444444444444444","GO:0051054","GO:BP","positive regulation of DNA metabolic process","11884","12593","c(""GO:0006259"", ""GO:0010604"", ""GO:0051052"")"
"query_1","TRUE","0.00389005933933268","331","3564","131","0.0367564534231201","0.395770392749245","GO:0051640","GO:BP","organelle localization","11884","12929","GO:0051179"
"query_1","TRUE","0.00389005933933268","57","3564","31","0.00869809203142537","0.543859649122807","GO:0042273","GO:BP","ribosomal large subunit biogenesis","11884","9421","c(""GO:0022613"", ""GO:0042254"")"
"query_1","TRUE","0.00397297275755902","36","3564","22","0.00617283950617284","0.611111111111111","GO:0006278","GO:BP","RNA-templated DNA biosynthetic process","11884","1986","GO:0071897"
"query_1","TRUE","0.00421334367661618","77","3564","39","0.0109427609427609","0.506493506493506","GO:2000045","GO:BP","regulation of G1/S transition of mitotic cell cycle","11884","23555","c(""GO:0000082"", ""GO:1901990"", ""GO:1902806"")"
"query_1","TRUE","0.00434471648394197","95","3564","46","0.0129068462401796","0.484210526315789","GO:0045814","GO:BP","negative regulation of gene expression, epigenetic","11884","10864","c(""GO:0010629"", ""GO:0040029"")"
